,Day,Weather
0,Today,"Sunny, with a high near 62. West wind 3 to 7 mph."
1,Tonight,"Patchy fog between 3am and 5am.  Otherwise, mostly clear, with a low around 39. Calm wind."
2,Friday,"Patchy fog before 7am.  Otherwise, partly sunny, with a high near 66. Light south wind increasing to 5 to 9 mph in the morning. Winds could gust as high as 22 mph."
3,Friday Night,"A chance of showers, mainly after midnight.  Patchy fog after 3am.  Otherwise, cloudy, with a low around 50. South wind 6 to 13 mph.  Chance of precipitation is 50%. New precipitation amounts of less than a tenth of an inch possible."
4,Saturday,"Showers likely, mainly before 2pm.  Patchy fog before 7am.  Otherwise, mostly cloudy, with a high near 58. Southwest wind 5 to 15 mph becoming north in the morning.  Chance of precipitation is 70%."
5,Saturday Night,"A slight chance of showers before 9pm.  Mostly clear, with a low around 31. Blustery, with a northwest wind 15 to 20 mph.  Chance of precipitation is 20%."
6,Sunday,"Sunny, with a high near 49. West wind 11 to 16 mph."
7,Sunday Night,"Mostly clear, with a low around 30. West wind 11 to 15 mph."
8,Monday,"Sunny, with a high near 43. North wind around 11 mph."
9,Monday Night,"Partly cloudy, with a low around 28. North wind around 8 mph."
10,Tuesday,"A chance of showers.  Mostly cloudy, with a high near 48. Northeast wind 8 to 14 mph becoming east in the afternoon.  Chance of precipitation is 30%."
11,Tuesday Night,"Showers likely.  Patchy fog.  Otherwise, cloudy, with a low around 39. Breezy, with an east wind 15 to 24 mph, with gusts as high as 38 mph.  Chance of precipitation is 70%."
12,Wednesday,"Showers likely.  Patchy fog.  Otherwise, mostly cloudy, with a high near 57. Windy, with a southeast wind 21 to 29 mph becoming southwest in the afternoon. Winds could gust as high as 44 mph.  Chance of precipitation is 70%."
