,day,weather_description,location,upload_timestamp
0,Today,"Partly sunny, with a high near 67. Southwest wind 7 to 10 mph, with gusts as high as 26 mph.",RhodeIsland,2023-11-17 09:36:54.613564
1,Tonight,"A chance of rain, mainly after 3am.  Cloudy, with a low around 55. South wind 3 to 7 mph.  Chance of precipitation is 30%. New precipitation amounts of less than a tenth of an inch possible.",RhodeIsland,2023-11-17 09:36:54.613564
2,Saturday,"Rain likely, mainly before 11am.  Cloudy through mid morning, then gradual clearing, with a temperature falling to around 44 by 5pm. Light and variable wind becoming north 11 to 16 mph in the morning. Winds could gust as high as 29 mph.  Chance of precipitation is 60%. New precipitation amounts between a tenth and quarter of an inch possible.",RhodeIsland,2023-11-17 09:36:54.613564
3,Saturday Night,"Clear, with a low around 32. Northwest wind 7 to 11 mph.",RhodeIsland,2023-11-17 09:36:54.613564
4,Sunday,"Sunny, with a high near 51. West wind 6 to 11 mph.",RhodeIsland,2023-11-17 09:36:54.613564
5,Sunday Night,"Mostly clear, with a low around 29. Northwest wind around 11 mph.",RhodeIsland,2023-11-17 09:36:54.613564
6,Monday,"Sunny, with a high near 42. Northwest wind 8 to 11 mph.",RhodeIsland,2023-11-17 09:36:54.613564
7,Monday Night,"Partly cloudy, with a low around 26. North wind around 6 mph.",RhodeIsland,2023-11-17 09:36:54.613564
8,Tuesday,"Mostly cloudy, with a high near 48. Northeast wind 6 to 11 mph becoming southeast in the afternoon.",RhodeIsland,2023-11-17 09:36:54.613564
9,Tuesday Night,"Rain, mainly after 10pm.  Patchy fog after 11pm. Low around 38. Breezy, with a southeast wind 13 to 18 mph increasing to 20 to 25 mph after midnight. Winds could gust as high as 37 mph.  Chance of precipitation is 80%.",RhodeIsland,2023-11-17 09:36:54.613564
10,Wednesday,"Rain.  Patchy fog. High near 54. Windy, with a south wind 25 to 30 mph becoming west 17 to 22 mph in the afternoon. Winds could gust as high as 45 mph.  Chance of precipitation is 80%.",RhodeIsland,2023-11-17 09:36:54.613564
11,Wednesday Night,"A chance of rain.  Partly cloudy, with a low around 30. West wind around 17 mph.  Chance of precipitation is 40%.",RhodeIsland,2023-11-17 09:36:54.613564
12,Thanksgiving Day,"Sunny, with a high near 41. West wind 11 to 15 mph.",RhodeIsland,2023-11-17 09:36:54.613564
