,day_and_date,temperature,weather_description,feels_like,wind,humidity,chance_of_precipitation,precipitation_amount,uv_index,sunrise,sunset,location,upload_timestamp
0,FriNov 17,65 / 38ʡF,Sprinkles late. Cloudy.,63ʡF,13 mph,64%,22%,"0.01""",0(Low),6:37 am,4:23 pm,RhodeIsland,2023-11-17 09:36:54.613564
1,SatNov 18,59 / 36ʡF,Light rain. Morning clouds.,46ʡF,12 mph,64%,67%,"0.17""",0(Low),6:38 am,4:22 pm,RhodeIsland,2023-11-17 09:36:54.613564
2,SunNov 19,51 / 31ʡF,Sunny.,45ʡF,12 mph,44%,1%,-,3(Moderate),6:39 am,4:21 pm,RhodeIsland,2023-11-17 09:36:54.613564
3,MonNov 20,41 / 26ʡF,Afternoon clouds.,36ʡF,5 mph,35%,0%,-,0(Low),6:40 am,4:21 pm,RhodeIsland,2023-11-17 09:36:54.613564
4,TueNov 21,46 / 25ʡF,Rain late. Overcast.,40ʡF,7 mph,53%,70%,"0.40""",0(Low),6:42 am,4:20 pm,RhodeIsland,2023-11-17 09:36:54.613564
5,WedNov 22,59 / 38ʡF,Flash floods. Overcast.,54ʡF,10 mph,92%,95%,"2.63""",0(Low),6:43 am,4:19 pm,RhodeIsland,2023-11-17 09:36:54.613564
6,ThuNov 23,39 / 27ʡF,Mostly sunny.,27ʡF,10 mph,51%,3%,-,0(Low),6:44 am,4:19 pm,RhodeIsland,2023-11-17 09:36:54.613564
7,FriNov 24,40 / 25ʡF,Sunny.,31ʡF,11 mph,48%,4%,-,3(Moderate),6:45 am,4:18 pm,RhodeIsland,2023-11-17 09:36:54.613564
8,SatNov 25,41 / 28ʡF,Morning clouds.,33ʡF,7 mph,52%,6%,-,0(Low),6:46 am,4:18 pm,RhodeIsland,2023-11-17 09:36:54.613564
9,SunNov 26,42 / 30ʡF,Mostly sunny.,32ʡF,10 mph,64%,4%,-,0(Low),6:47 am,4:17 pm,RhodeIsland,2023-11-17 09:36:54.613564
10,MonNov 27,43 / 30ʡF,Broken clouds.,35ʡF,6 mph,65%,6%,-,0(Low),6:48 am,4:17 pm,RhodeIsland,2023-11-17 09:36:54.613564
11,TueNov 28,43 / 32ʡF,Rain. Overcast.,35ʡF,7 mph,99%,83%,"3.79""",0(Low),6:50 am,4:16 pm,RhodeIsland,2023-11-17 09:36:54.613564
12,WedNov 29,41 / 33ʡF,Scattered clouds.,37ʡF,6 mph,87%,60%,"0.38""",0(Low),6:51 am,4:16 pm,RhodeIsland,2023-11-17 09:36:54.613564
13,ThuNov 30,41 / 31ʡF,Sunny.,36ʡF,7 mph,82%,5%,-,0(Low),6:52 am,4:16 pm,RhodeIsland,2023-11-17 09:36:54.613564
14,FriDec 1,40 / 29ʡF,Scattered clouds.,36ʡF,7 mph,68%,3%,-,0(Low),6:53 am,4:15 pm,RhodeIsland,2023-11-17 09:36:54.613564
